,Title,Artist,Artist_followers,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,Top10_dummy,Top50_dummy
13080,cudi montage,KIDS SEE GHOSTS,651824,7,7,0.729,0.504,8,-6.784,0,0.0321,0.401,1.44e-06,0.121,0.305,110.011,197001,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13092,<3,Bad Bunny,26265604,20,20,0.631,0.665,10,-7.589,0,0.229,0.602,1.7e-06,0.152,0.634,80.353,157967,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13102,comeback,Jonas Brothers,4654109,14,14,0.55,0.553,0,-7.34,1,0.0403,0.0913,0.0,0.111,0.185,145.009,155680,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13104,mahogany,Lil Wayne,9717614,2,24,0.466,0.608,1,-4.8,0,0.45,0.0737,0.0,0.406,0.41,79.48,177867,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13116,only want you,Rita Ora,6139442,6,16,0.654,0.528,6,-6.224,0,0.0412,0.0599,7.14e-05,0.0975,0.376,82.014,180760,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13148,0:00,BTS,24755789,13,20,0.566,0.548,1,-6.456,1,0.0579,0.0802,0.0,0.11,0.196,157.999,250296,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13159,ill be home for christmas,Michael Bublé,4155593,13,16,0.282,0.101,7,-14.657,1,0.0315,0.934,5.05e-05,0.159,0.141,83.13,264827,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13182,the motion,Drake,50593376,16,16,0.676,0.717,11,-8.219,0,0.0874,0.29,0.000368,0.0974,0.558,157.628,241000,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13187,cómo se siente - remix,Jhay Cortez - Bad Bunny,1371556,1,1,0.807,0.606,3,-8.871,0,0.088,0.0946,0.0,0.119,0.304,92.988,227520,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13197,hit different,SZA - The Neptunes - Pharrell Williams - Ty Dolla $ign,3840363,1,1,0.679,0.516,0,-6.371,0,0.0452,0.199,0.0,0.0965,0.716,120.074,202008,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
13212,beautiful people beautiful problems,Lana Del Rey - Stevie Nicks,11440791,12,16,0.509,0.43,5,-8.387,1,0.0325,0.834,0.000854,0.0927,0.128,122.919,253532,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13230,numb,XXXTENTACION,22910410,7,18,0.414,0.416,11,-8.024,0,0.0251,0.1,0.179,0.131,0.196,159.91,186268,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
13263,feel the love,KIDS SEE GHOSTS - Pusha T,651824,1,7,0.58,0.469,0,-5.946,0,0.104,0.126,7.32e-05,0.099,0.369,110.573,165053,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13282,happy xmas  - remastered 2010,John Lennon - The Harlem Community Choir - The Plastic Ono Band - Yoko Ono,3751501,14,15,0.328,0.607,2,-11.076,1,0.0315,0.318,0.0,0.765,0.395,146.537,213880,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13315,hitek tek,Future,9442830,2,21,0.873,0.591,2,-7.332,1,0.293,0.00102,0.0,0.13,0.188,150.057,182400,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13323,under the bridge,Red Hot Chili Peppers,14627263,11,19,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13353,pop/stars,K/DA - Madison Beer - (G)I-DLE - Jaira Burns - League of Legends,696256,1,1,0.566,0.769,7,-4.342,1,0.0872,0.0183,0.0,0.108,0.385,170.036,191100,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13377,mikrokosmos,BTS,24755789,3,7,0.58,0.858,8,-5.212,1,0.114,0.125,0.0,0.0502,0.475,174.039,224225,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13423,the first noel - remastered 1999,Frank Sinatra,4274718,7,15,0.176,0.153,0,-15.969,1,0.0365,0.956,0.00012,0.158,0.157,84.741,161373,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
13434,emoji a chain,Migos,10919803,7,24,0.894,0.324,1,-8.24,1,0.179,0.0399,0.0,0.126,0.407,139.972,315185,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13447,best part of me,Ed Sheeran - Yebba,71783101,5,15,0.565,0.243,2,-8.367,1,0.0317,0.758,8.82e-06,0.285,0.239,81.655,243267,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
13478,find u again,Mark Ronson - Camila Cabello,854572,1,1,0.605,0.664,8,-7.162,1,0.0316,0.00548,3e-06,0.204,0.164,103.997,176417,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
13509,you dont know how it feels,Tom Petty,1419670,2,15,0.765,0.502,9,-7.393,1,0.0321,0.119,0.0011,0.171,0.836,144.204,289440,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13515,new,Daya,1154911,1,1,0.717,0.743,0,-4.337,1,0.0322,0.0473,8.81e-06,0.368,0.321,106.919,230880,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13542,whats poppin,Jack Harlow,485623,1,1,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,139741,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13560,shake the room,Pop Smoke - Quavo,2441830,2,13,0.733,0.684,2,-4.748,1,0.177,0.142,0.0,0.179,0.437,142.04,165640,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
13573,free spirit,Khalid,12829933,11,17,0.627,0.446,2,-9.477,0,0.0332,0.308,0.00077,0.111,0.11,139.994,182080,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
13586,slow grenade,Ellie Goulding - Lauv,8604850,1,6,0.758,0.562,9,-6.302,1,0.0771,0.0996,0.0,0.0996,0.581,142.035,217493,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13597,reggaetón lento,CNCO - Little Mix,6986310,1,1,0.527,0.907,4,-3.09,0,0.11,0.154,0.0,0.0993,0.664,93.813,188797,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13630,sunflower - spider-man: into the spider-verse,Post Malone - Swae Lee,29173640,2,15,0.761,0.479,2,-5.574,1,0.0466,0.552,0.0,0.0704,0.912,89.913,158040,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
13664,if the world was ending - feat. julia michaels,JP Saxe - Julia Michaels,167097,1,1,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,208687,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
13694,winter wonderland,Bing Crosby,316402,1,18,0.648,0.228,3,-12.335,1,0.0454,0.769,0.0,0.0983,0.503,125.526,144827,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
13714,give yourself a try,The 1975,4472646,1,1,0.331,0.784,11,-5.002,1,0.0561,3.12e-05,0.0,0.427,0.902,182.964,197672,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13740,jingle bells,Michael Bublé - The Puppini Sisters,4155593,3,16,0.702,0.588,5,-5.914,1,0.0563,0.634,0.0,0.198,0.849,122.945,159973,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13766,aint livin right,Future - Juice WRLD - Gunna,9442830,14,16,0.755,0.503,0,-8.06,1,0.206,0.0492,0.0,0.226,0.524,142.011,230533,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13768,how u feel,Huncho Jack - Travis Scott - Quavo,753875,11,13,0.86,0.799,2,-2.446,1,0.149,0.0532,2.54e-05,0.369,0.491,140.005,205682,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13770,down bad,Dreamville - JID - Bas - J. Cole - EARTHGANG - Young Nudy,301682,2,18,0.761,0.586,0,-5.368,1,0.359,0.0392,0.0,0.0558,0.719,149.804,169147,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13778,people,The 1975,4472646,1,1,0.492,0.926,0,-5.257,1,0.188,3.74e-05,0.0187,0.475,0.479,149.957,160008,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13782,i love you,Axwell /\ Ingrosso - Kid Ink,2193315,1,1,0.654,0.859,0,-4.321,1,0.166,0.336,0.0,0.0947,0.704,114.87,191000,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13803,i aint got time!,"Tyler, The Creator",5277768,9,14,0.549,0.725,1,-7.239,1,0.397,0.0539,3.52e-05,0.148,0.547,108.822,206267,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13814,moon river,Frank Ocean,6628942,1,1,0.24,0.116,0,-13.216,1,0.0329,0.877,0.00092,0.1,0.0937,77.349,188324,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13822,get me,Justin Bieber - Kehlani,39214943,11,17,0.832,0.508,6,-6.913,0,0.149,0.0492,5.39e-05,0.107,0.75,109.352,185427,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
13853,what christmas means to me,Stevie Wonder,4583729,12,12,0.478,0.542,5,-10.135,1,0.0367,0.244,0.0,0.0839,0.821,167.486,147227,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13875,rolling papers 2,Wiz Khalifa,9460688,7,25,0.706,0.716,8,-5.501,1,0.131,0.0343,1.97e-06,0.143,0.214,171.932,262176,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13882,blow,Ed Sheeran - Chris Stapleton - Bruno Mars,71783101,1,1,0.631,0.796,1,-5.35,1,0.0401,0.000245,0.0115,0.38,0.596,92.469,209120,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13903,bad blood,Taylor Swift,33485486,8,13,0.652,0.802,7,-6.114,1,0.181,0.0871,6.45e-06,0.148,0.295,170.157,211933,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13912,man with the bag,Jessie J,7943575,2,11,0.626,0.676,7,-3.178,1,0.0739,0.608,0.0,0.493,0.684,140.677,163560,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13929,moon relate,Lil Uzi Vert,10065137,8,32,0.867,0.768,7,-3.73,1,0.0791,0.18,0.0,0.254,0.34,102.021,181826,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
13934,promiscuous,Nelly Furtado - Timbaland,2221744,4,17,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,242293,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13944,never be like you,Flume - kai,2084598,2,16,0.494,0.559,0,-5.445,1,0.0565,0.436,0.0,0.164,0.264,119.247,233337,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13959,tic toc,6ix9ine - Lil Baby,5963018,3,13,0.82,0.691,6,-6.646,0,0.0723,0.0115,0.0,0.344,0.683,142.027,135739,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
13988,better,ZAYN,13407533,1,1,0.637,0.418,2,-7.137,1,0.301,0.353,0.0,0.131,0.0807,84.295,174517,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14017,snake skin,Trippie Redd,5502398,2,14,0.669,0.557,8,-8.835,0,0.0498,0.0574,0.0,0.0662,0.553,144.043,186944,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
14030,pray,Sam Smith,14303985,1,1,0.381,0.379,4,-9.36,0,0.0501,0.292,2.79e-06,0.0864,0.153,175.067,221596,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14059,rose-colored boy,Paramore,5512149,2,12,0.768,0.826,5,-4.904,1,0.0335,0.00199,0.000374,0.031,0.926,114.997,212853,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14070,mercy,Shawn Mendes,29743681,2,18,0.469,0.68,11,-4.921,0,0.117,0.137,0.0,0.11,0.374,147.734,208733,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14105,be careful,Cardi B,13132135,5,13,0.82,0.568,6,-8.23,0,0.411,0.0256,0.0,0.0952,0.535,152.279,210787,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
14127,neon gravestones,Twenty One Pilots,18703210,7,14,0.73,0.427,11,-9.834,0,0.138,0.379,0.000309,0.0893,0.392,149.45,240267,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14141,soltera,Lunay - Daddy Yankee - Bad Bunny,3300801,1,1,0.795,0.755,5,-4.788,1,0.0454,0.327,0.0,0.464,0.816,92.02,266192,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14166,midnight train,Sam Smith,14303985,4,14,0.713,0.597,4,-7.117,1,0.0692,0.377,2.86e-05,0.179,0.399,96.06,207164,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14191,blastoff,Internet Money - Juice WRLD - Trippie Redd,159542,9,17,0.761,0.517,5,-6.916,1,0.0927,0.114,0.0,0.157,0.46,147.912,174730,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14194,tip toe,Roddy Ricch - A Boogie Wit da Hoodie,4688338,1,1,0.757,0.673,1,-8.513,1,0.141,0.095,0.0,0.338,0.574,92.958,185806,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
14198,higher we go - intro,Migos,10919803,1,24,0.815,0.547,8,-4.041,1,0.0942,0.0768,0.0,0.215,0.183,152.0,255849,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14214,perfect,Ed Sheeran,71783101,5,16,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14249,bad things - with camila cabello,Machine Gun Kelly - Camila Cabello,2691848,1,1,0.689,0.692,2,-4.756,1,0.133,0.229,0.0,0.184,0.285,137.832,239280,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14259,love to hate me,BLACKPINK,16413563,7,8,0.68,0.656,8,-4.539,1,0.138,0.0368,0.0,0.101,0.582,162.177,169800,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14284,move ya hips,A$AP Ferg - Nicki Minaj - MadeinTYO,2699921,1,1,0.809,0.68,4,-4.883,1,0.222,0.0535,1.2e-06,0.11,0.0653,143.988,146009,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14306,havana,Camila Cabello - Young Thug,18673543,4,11,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
14341,negro,J Balvin,23718139,7,10,0.795,0.911,0,-2.228,1,0.0875,0.0157,0.206,0.131,0.8,164.081,182093,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14351,si estuviésemos juntos,Bad Bunny,26265604,8,15,0.672,0.594,1,-6.813,0,0.0789,0.0626,5.14e-05,0.152,0.158,171.854,169248,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14361,new freezer,Rich The Kid - Kendrick Lamar,2367135,1,1,0.888,0.664,0,-10.13,1,0.341,0.0424,0.0,0.0734,0.53,140.012,193173,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14376,slide around,Chance the Rapper - Lil Durk - Nicki Minaj,5045736,17,22,0.869,0.67,11,-5.505,0,0.215,0.0912,0.0,0.0955,0.49,162.999,270992,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
14379,ready,Lil Baby - Gunna,5372519,5,13,0.793,0.395,1,-5.578,1,0.385,0.277,1.4e-05,0.109,0.129,77.027,213287,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14383,infinity  - feat. joey bada$$,XXXTENTACION - Joey Bada$$,22910410,8,18,0.562,0.579,10,-6.788,0,0.484,0.274,0.0,0.102,0.577,84.143,176591,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
14409,im ready for you,Bryson Tiller,4447390,3,10,0.741,0.64,0,-6.452,0,0.405,0.228,8.55e-05,0.138,0.893,179.095,174093,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14414,waka,6ix9ine - A Boogie Wit da Hoodie,5963018,6,13,0.772,0.812,0,-3.995,0,0.153,0.0834,0.0,0.115,0.655,97.407,128769,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
14435,mad stalkers,21 Savage - Offset - Metro Boomin,8668809,6,10,0.9,0.365,10,-6.395,0,0.235,0.147,0.185,0.179,0.136,135.003,202667,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14440,physical,Dua Lipa,20575026,1,1,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.962,193829,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14474,cut you off,Selena Gomez,23289724,12,13,0.855,0.294,5,-8.676,1,0.286,0.3,9.22e-05,0.091,0.842,139.745,182017,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14492,do the most,Tory Lanez,3310268,1,1,0.874,0.635,8,-6.703,1,0.164,0.0326,0.0,0.0676,0.369,102.022,144098,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14496,como un bebé,J Balvin - Bad Bunny - Mr Eazi,23718139,8,8,0.825,0.807,6,-5.753,1,0.0949,0.0732,4.79e-06,0.138,0.816,103.053,218827,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14507,who dat boy,"Tyler, The Creator - A$AP Rocky",5277768,5,14,0.706,0.485,8,-9.671,1,0.331,0.337,0.0,0.122,0.144,115.414,205093,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14516,none of your concern,Jhené Aiko - Big Sean,3809217,1,1,0.422,0.546,9,-8.155,0,0.249,0.844,0.0,0.108,0.385,74.741,262213,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
14519,a brand new day,BTS - Zara Larsson,24755789,1,1,0.804,0.498,8,-7.387,0,0.0571,0.339,0.000236,0.18,0.704,105.008,205020,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14540,wildflower,5 Seconds of Summer,6734577,6,12,0.643,0.768,6,-4.316,1,0.0455,0.174,0.0,0.469,0.597,108.992,220536,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14562,the most,Miley Cyrus,13062577,6,6,0.344,0.615,7,-6.886,1,0.0327,0.455,0.00339,0.122,0.209,98.99,221720,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14567,bring dem things,French Montana - Pharrell Williams,3691323,1,1,0.394,0.658,11,-6.788,1,0.23,0.0002,0.0227,0.0817,0.351,89.465,196120,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14571,how long - remix,Charlie Puth - French Montana,11708460,1,1,0.863,0.631,1,-4.959,0,0.0822,0.17,0.0,0.078,0.89,109.99,206965,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14606,bom bidi bom - from fifty shades darker,Nick Jonas - Nicki Minaj,6723502,8,19,0.468,0.515,6,-6.578,1,0.0665,0.145,0.0,0.132,0.187,86.21,214760,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14631,emotionless,Drake,50593376,4,25,0.413,0.676,1,-5.124,1,0.213,0.0239,0.0,0.0811,0.0827,173.478,302173,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14665,jesus christ 2005 god bless america,The 1975,4472646,1,1,0.541,0.287,2,-15.897,1,0.0345,0.878,0.00822,0.339,0.581,78.947,264007,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14670,love me like you do - from fifty shades of grey,Ellie Goulding,8604850,9,22,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,252534,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14693,you should see me in a crown,Billie Eilish,34697267,4,14,0.678,0.533,4,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455,180953,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
14728,adore you,Harry Styles,10361677,1,3,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
14762,nothing left for you,Sam Smith,14303985,11,14,0.499,0.3,10,-8.631,1,0.0433,0.616,1.69e-06,0.128,0.212,126.724,226731,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14780,que pretendes,J Balvin - Bad Bunny,23718139,4,8,0.639,0.791,10,-4.443,0,0.253,0.0275,0.0,0.362,0.939,92.603,222347,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14806,nina cried power,Hozier - Mavis Staples,4244075,1,4,0.29,0.889,1,-2.611,1,0.159,0.00949,0.0,0.0821,0.651,98.835,225213,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14839,wish wish,DJ Khaled - Cardi B - 21 Savage,5270929,2,15,0.861,0.666,8,-5.18,0,0.343,0.00218,0.0,0.272,0.853,145.041,202625,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14855,king of my city,A Boogie Wit da Hoodie,5184928,1,1,0.48,0.679,4,-6.776,0,0.264,0.452,0.0,0.152,0.29,81.186,148676,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
14860,desire,Juice WRLD,13266070,14,22,0.597,0.767,1,-4.713,0,0.0481,0.106,0.0,0.107,0.205,148.009,189813,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14863,love hurts,Playboi Carti - Travis Scott,4064479,5,19,0.724,0.45,4,-5.763,0,0.0497,0.0315,1.42e-05,0.111,0.464,140.978,180560,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14867,wondo,6ix9ine,5963018,12,13,0.775,0.853,7,-5.867,1,0.298,0.0785,0.0,0.147,0.537,92.938,121129,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
14884,solo dance,Martin Jensen,991761,1,1,0.744,0.836,6,-2.396,0,0.0507,0.0435,0.0,0.194,0.36,114.965,174933,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
